Nature of Offense,Incident Location,City,State,Country,Latitude,Longitude
Bike Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9718999,-93.2360684
Bike Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9718999,-93.2360684
Bike Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9718999,-93.2360684
Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9718999,-93.2360684
Stalking,220 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9718999,-93.2360684
Bike Theft,222 21st Ave S,Minneapolis,Minnesota,United States of America,44.9732078,-93.2430163
Theft,222 Pleasant St SE,Minneapolis,Minnesota,United States of America,44.9742241,-93.237246
Theft,2231 6th St SE,Minneapolis,Minnesota,United States of America,44.9780563,-93.22179249999999
Bike Theft,2231 6th St SE,Minneapolis,Minnesota,United States of America,44.9780563,-93.22179249999999
Bike Theft,2231 6th St SE,Minneapolis,Minnesota,United States of America,44.9780563,-93.22179249999999
Burglary,225 19th Ave S,Minneapolis,Minnesota,United States of America,44.9729548,-93.2437222
Bike Theft,225 19th Ave S,Minneapolis,Minnesota,United States of America,44.9729548,-93.2437222
Bike Theft,225 19th Ave S,Minneapolis,Minnesota,United States of America,44.9729548,-93.2437222
Bike Theft,229 19th Ave S,Minneapolis,Minnesota,United States of America,44.9730146,-93.24363989999999
Criminal Sexual Conduct - Rape,229 19th Ave S,Minneapolis,Minnesota,United States of America,44.9730146,-93.24363989999999
Bike Theft,229 19th Ave S,Minneapolis,Minnesota,United States of America,44.9730146,-93.24363989999999
Bike Theft,229 19th Ave S,Minneapolis,Minnesota,United States of America,44.9730146,-93.24363989999999
Theft from Person,229 19th Ave S,Minneapolis,Minnesota,United States of America,44.9730146,-93.24363989999999
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.9709238,-93.25386689999999
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.9709238,-93.25386689999999
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.9709238,-93.25386689999999
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.9709238,-93.25386689999999
Theft,2312 6th St S,Minneapolis,Minnesota,United States of America,44.9709238,-93.25386689999999
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.9709238,-93.25386689999999
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.9709238,-93.25386689999999
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.9709238,-93.25386689999999
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.9709238,-93.25386689999999
Assault,2414 7th St S,Minneapolis,Minnesota,United States of America,44.9678352,-93.25135569999999
Assault,2414 7th St S,Minneapolis,Minnesota,United States of America,44.9678352,-93.25135569999999
Bike Theft,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.9667334,-93.2371862
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.9667334,-93.2371862
Theft,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.9667334,-93.2371862
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.9667334,-93.2371862
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.9667334,-93.2371862
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.9667334,-93.2371862
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.9667334,-93.2371862
Assault,2450 Riverside Ave S,Minneapolis,Minnesota,United States of America,44.9667334,-93.2371862
Theft,2450 Riverside Ave S,Minneapolis,Minnesota,United States of America,44.9667334,-93.2371862
Assault,2450 Riverside Ave S,Minneapolis,Minnesota,United States of America,44.9667334,-93.2371862
Assault,2450 Riverside Ave S,Minneapolis,Minnesota,United States of America,44.9667334,-93.2371862
Sexual Assault,2450 Riverside Ave S,Minneapolis,Minnesota,United States of America,44.9667334,-93.2371862
Theft,2450 Riverside Ave SE,Minneapolis,Minnesota,United States of America,44.9667334,-93.2371862
Assault,2459 Riverside Ave S,Minneapolis,Minnesota,United States of America,44.9661201,-93.2371794
Bike Theft,2512 7th St S,Minneapolis,Minnesota,United States of America,44.9678352,-93.25135569999999
Bike Theft,2515 University Ave SE,Minneapolis,Minnesota,United States of America,44.973503,-93.219838
Bike Theft,267 19th Ave S,Minneapolis,Minnesota,United States of America,44.97202960000001,-93.243685
Bike Theft,267 19th Ave S,Minneapolis,Minnesota,United States of America,44.97202960000001,-93.243685
Assault,269 19th Ave S,Minneapolis,Minnesota,United States of America,44.971863,-93.2433118
